Name,Title,Company,Person location,Company HQ,Email,LinkedIn,Last paper title,Last paper year,Conference,Funding round,NAMs signal,Notes,Action
Emma Patel,"Scientist, Hepatic Toxicology",ToxiGen,"Seattle, WA","Basel, Switzerland",emma.patel@toxigen.com,https://www.linkedin.com/in/emmapatel-toxigen,NAMs in preclinical safety assessments,2022,AACR 2024,IPO,Yes,Evaluating NAMs,Share case study
Chen Patel,"Associate Director, DMPK",InSilico Health,"San Diego, CA","Boston, MA",chen.patel@insilicohealth.com,https://www.linkedin.com/in/chenpatel-insilicohealth,Hepatic spheroids improve safety pharmacology readouts,2023,ISSX 2025,Series A,Yes,Influencer,Request 15-min meeting
Liam Patel,VP Preclinical Safety,Preclinica,"London, UK","Oxford, UK",liam.patel@preclinica.com,https://www.linkedin.com/in/liampatel-preclinica,Hepatic spheroids improve safety pharmacology readouts,2022,ACT 2024,Seed,No,Budget holder,LinkedIn connect
Raj Clark,"Principal Scientist, Investigative Toxicology",LiverSafe,"San Diego, CA","Oxford, UK",raj.clark@liversafe.com,https://www.linkedin.com/in/rajclark-liversafe,Organ-on-chip platforms for predictive toxicology,2022,AACR 2024,Series B,Yes,PI-level,Share case study
Arjun Miller,Director of Safety Assessment,ToxiGen,"Boston, MA","Seattle, WA",arjun.miller@toxigen.com,https://www.linkedin.com/in/arjunmiller-toxigen,Organ-on-chip platforms for predictive toxicology,2022,ACT 2024,Series A,Yes,PI-level,LinkedIn connect
Priya Johnson,Safety Pharmacology Lead,NeoDrug Discovery,"Basel, Switzerland","Cambridge, UK",priya.johnson@neodrugdiscovery.com,https://www.linkedin.com/in/priyajohnson-neodrugdiscovery,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,SOT 2024,Seed,No,Budget holder,Request 15-min meeting
Zara Lewis,"Associate Director, DMPK",LiverSafe,"Seattle, WA","Oxford, UK",zara.lewis@liversafe.com,https://www.linkedin.com/in/zaralewis-liversafe,Screening hepatic toxicity using organoids,2023,AACR 2025,Series B,Yes,Influencer,Invite to demo
Raj Young,"Principal Scientist, Investigative Toxicology",OrganoSys,"Boston, MA","London, UK",raj.young@organosys.com,https://www.linkedin.com/in/rajyoung-organosys,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,AACR 2024,Seed,No,Evaluating NAMs,Invite to demo
Arjun Patel,"Associate Director, DMPK",OncoNova,"New York, NY","Basel, Switzerland",arjun.patel@onconova.com,https://www.linkedin.com/in/arjunpatel-onconova,Hepatic spheroids improve safety pharmacology readouts,2025,SOT 2024,Series A,No,Budget holder,LinkedIn connect
Noah Lopez,Director of Safety Assessment,InVitroX,"Basel, Switzerland","Boston, MA",noah.lopez@invitrox.com,https://www.linkedin.com/in/noahlopez-invitrox,Organ-on-chip platforms for predictive toxicology,2023,ACT 2024,Unknown,Yes,Influencer,Invite to demo
Arjun Singh,VP Preclinical Safety,ToxInsight,"London, UK","Basel, Switzerland",arjun.singh@toxinsight.com,https://www.linkedin.com/in/arjunsingh-toxinsight,NAMs in preclinical safety assessments,2022,AACR 2025,Unknown,Yes,Influencer,LinkedIn connect
Ethan Taylor,"Lead Scientist, Organ-on-Chip",Novacure Biotech,"Bay Area, CA","Zurich, Switzerland",ethan.taylor@novacurebiotech.com,https://www.linkedin.com/in/ethantaylor-novacurebiotech,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,AACR 2024,Grant,No,PI-level,Share case study
Chen Khan,"Principal Scientist, Investigative Toxicology",LiverSafe,"San Francisco, CA","Cambridge, UK",chen.khan@liversafe.com,https://www.linkedin.com/in/chenkhan-liversafe,3D cell culture applications in hepatotoxicity,2022,ACT 2024,Seed,Yes,Hands-on user,Email intro
Alice Allen,"Research Scientist, 3D Cell Culture",SynBio Labs,"Oxford, UK","Basel, Switzerland",alice.allen@synbiolabs.com,https://www.linkedin.com/in/aliceallen-synbiolabs,In vitro organ-on-chip for DILI detection,2022,ACT 2024,Seed,No,Hands-on user,Share case study
Alice Wang,Head of Toxicology,ToxInsight,"Cambridge, UK","Oxford, UK",alice.wang@toxinsight.com,https://www.linkedin.com/in/alicewang-toxinsight,3D cell culture applications in hepatotoxicity,2023,ACT 2024,IPO,Yes,Hands-on user,Invite to demo
Raj Young,"Principal Scientist, Investigative Toxicology",HepaTech,"Seattle, WA","Cambridge, UK",raj.young@hepatech.com,https://www.linkedin.com/in/rajyoung-hepatech,Organ-on-chip platforms for predictive toxicology,2025,SOT 2025,Seed,No,Influencer,Invite to demo
Karan Miller,"Scientist, Hepatic Toxicology",InSilico Health,"Boston, MA","New York, NY",karan.miller@insilicohealth.com,https://www.linkedin.com/in/karanmiller-insilicohealth,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2022,ISSX 2025,Unknown,Yes,Evaluating NAMs,LinkedIn connect
Emma Hall,"Scientist, Hepatic Toxicology",PharmaNest,"San Diego, CA","London, UK",emma.hall@pharmanest.com,https://www.linkedin.com/in/emmahall-pharmanest,NAMs in preclinical safety assessments,2024,AACR 2024,IPO,No,Evaluating NAMs,LinkedIn connect
Chen Patel,"Scientist, Hepatic Toxicology",OrganoSys,"London, UK","Cambridge, MA",chen.patel@organosys.com,https://www.linkedin.com/in/chenpatel-organosys,3D cell culture applications in hepatotoxicity,2025,AACR 2025,Series A,No,Budget holder,Share case study
Chen Adams,Senior Toxicology Scientist,PharmaCore,"New York, NY","Cambridge, MA",chen.adams@pharmacore.com,https://www.linkedin.com/in/chenadams-pharmacore,NAMs in preclinical safety assessments,2022,ISSX 2024,IPO,Yes,Budget holder,Invite to demo
James Johnson,Director of Safety Assessment,Preclinica,"Remote, Colorado","Basel, Switzerland",james.johnson@preclinica.com,https://www.linkedin.com/in/jamesjohnson-preclinica,3D cell culture applications in hepatotoxicity,2025,SOT 2024,Series B,No,PI-level,Invite to demo
Chen Lewis,"Associate Director, DMPK",VivoMatrix,"Boston, MA","Bay Area, CA",chen.lewis@vivomatrix.com,https://www.linkedin.com/in/chenlewis-vivomatrix,Organ-on-chip platforms for predictive toxicology,2023,SOT 2025,Grant,Yes,Hands-on user,Share case study
Noah Lopez,VP Preclinical Safety,BioAxis,"Oxford, UK","Cambridge, MA",noah.lopez@bioaxis.com,https://www.linkedin.com/in/noahlopez-bioaxis,Hepatic spheroids improve safety pharmacology readouts,2025,ISSX 2025,Seed,Yes,Influencer,Share case study
Arjun Brown,Head of Toxicology,Novacure Biotech,"Zurich, Switzerland","Seattle, WA",arjun.brown@novacurebiotech.com,https://www.linkedin.com/in/arjunbrown-novacurebiotech,3D cell culture applications in hepatotoxicity,2022,AACR 2024,Unknown,Yes,PI-level,Request 15-min meeting
Raj Allen,"Principal Scientist, Investigative Toxicology",PharmaNest,"Oxford, UK","Basel, Switzerland",raj.allen@pharmanest.com,https://www.linkedin.com/in/rajallen-pharmanest,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2024,AACR 2025,Series B,Yes,Evaluating NAMs,LinkedIn connect
Alice Young,Senior Toxicology Scientist,LiverSafe,"Bay Area, CA","New York, NY",alice.young@liversafe.com,https://www.linkedin.com/in/aliceyoung-liversafe,Organ-on-chip platforms for predictive toxicology,2025,SOT 2024,Grant,No,Evaluating NAMs,Request 15-min meeting
Emma Hall,Head of Toxicology,OncoNova,"Cambridge, MA","London, UK",emma.hall@onconova.com,https://www.linkedin.com/in/emmahall-onconova,NAMs in preclinical safety assessments,2024,SOT 2024,Unknown,No,Influencer,Share case study
Arjun Taylor,"Associate Director, DMPK",ToxiGen,"San Francisco, CA","Seattle, WA",arjun.taylor@toxigen.com,https://www.linkedin.com/in/arjuntaylor-toxigen,Hepatic spheroids improve safety pharmacology readouts,2023,AACR 2024,Grant,No,Budget holder,Request 15-min meeting
Noah Clark,Senior Toxicology Scientist,BioAxis,"London, UK","Boston, MA",noah.clark@bioaxis.com,https://www.linkedin.com/in/noahclark-bioaxis,3D cell culture applications in hepatotoxicity,2022,SOT 2025,Seed,No,Hands-on user,LinkedIn connect
Karan Gupta,"Scientist, Hepatic Toxicology",Novacure Biotech,"Remote, Texas","Boston, MA",karan.gupta@novacurebiotech.com,https://www.linkedin.com/in/karangupta-novacurebiotech,3D cell culture applications in hepatotoxicity,2024,AACR 2024,Grant,No,Influencer,Request 15-min meeting
Raj Hall,"Scientist, Hepatic Toxicology",Novacure Biotech,"Remote, Texas","New York, NY",raj.hall@novacurebiotech.com,https://www.linkedin.com/in/rajhall-novacurebiotech,Screening hepatic toxicity using organoids,2022,ACT 2024,Seed,Yes,Hands-on user,LinkedIn connect
Karan Johnson,"Principal Scientist, Investigative Toxicology",OncoNova,"San Diego, CA","London, UK",karan.johnson@onconova.com,https://www.linkedin.com/in/karanjohnson-onconova,NAMs in preclinical safety assessments,2022,SOT 2025,Grant,No,PI-level,Request 15-min meeting
Karan Hall,Safety Pharmacology Lead,NeoDrug Discovery,"Remote, Colorado","Boston, MA",karan.hall@neodrugdiscovery.com,https://www.linkedin.com/in/karanhall-neodrugdiscovery,NAMs in preclinical safety assessments,2023,SOT 2024,Series B,Yes,Influencer,Invite to demo
Lucas Khan,"Lead Scientist, Organ-on-Chip",InVitroX,"Cambridge, UK","Cambridge, MA",lucas.khan@invitrox.com,https://www.linkedin.com/in/lucaskhan-invitrox,Organ-on-chip platforms for predictive toxicology,2022,AACR 2024,Grant,No,Influencer,Share case study
Noah Taylor,Senior Toxicology Scientist,ToxInsight,"London, UK","Boston, MA",noah.taylor@toxinsight.com,https://www.linkedin.com/in/noahtaylor-toxinsight,In vitro organ-on-chip for DILI detection,2022,SOT 2024,IPO,Yes,Budget holder,Invite to demo
Nina Brown,Head of Toxicology,Novacure Biotech,"San Francisco, CA","Cambridge, MA",nina.brown@novacurebiotech.com,https://www.linkedin.com/in/ninabrown-novacurebiotech,In vitro organ-on-chip for DILI detection,2025,ISSX 2024,Unknown,No,Budget holder,Share case study
Olivia Gupta,Director of Safety Assessment,Preclinica,"Boston, MA","Oxford, UK",olivia.gupta@preclinica.com,https://www.linkedin.com/in/oliviagupta-preclinica,Hepatic spheroids improve safety pharmacology readouts,2023,ACT 2024,Series B,Yes,Budget holder,LinkedIn connect
Chen Allen,Director of Safety Assessment,ToxiGen,"Zurich, Switzerland","London, UK",chen.allen@toxigen.com,https://www.linkedin.com/in/chenallen-toxigen,3D cell culture applications in hepatotoxicity,2025,ISSX 2025,Series A,No,Hands-on user,Email intro
Ava Miller,Senior Toxicology Scientist,InVitroX,"Remote, Colorado","Basel, Switzerland",ava.miller@invitrox.com,https://www.linkedin.com/in/avamiller-invitrox,NAMs in preclinical safety assessments,2022,ISSX 2024,Seed,Yes,Evaluating NAMs,Email intro
Ethan Young,Senior Toxicology Scientist,InSilico Health,"Zurich, Switzerland","Seattle, WA",ethan.young@insilicohealth.com,https://www.linkedin.com/in/ethanyoung-insilicohealth,Hepatic spheroids improve safety pharmacology readouts,2022,AACR 2024,Grant,No,Budget holder,LinkedIn connect
Chen Patel,"Associate Director, DMPK",BioThera,"San Diego, CA","Oxford, UK",chen.patel@biothera.com,https://www.linkedin.com/in/chenpatel-biothera,Hepatic spheroids improve safety pharmacology readouts,2022,SOT 2024,Series A,Yes,Hands-on user,Email intro
Emma Wang,Safety Pharmacology Lead,PharmaCore,"Seattle, WA","Seattle, WA",emma.wang@pharmacore.com,https://www.linkedin.com/in/emmawang-pharmacore,Hepatic spheroids improve safety pharmacology readouts,2024,ACT 2024,Seed,No,Hands-on user,Email intro
Nina Gupta,VP Preclinical Safety,InVitroX,"Boston, MA","London, UK",nina.gupta@invitrox.com,https://www.linkedin.com/in/ninagupta-invitrox,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,SOT 2025,Unknown,No,Budget holder,Email intro
Emma Wang,Head of Toxicology,InSilico Health,"Manchester, UK","Cambridge, MA",emma.wang@insilicohealth.com,https://www.linkedin.com/in/emmawang-insilicohealth,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,ISSX 2024,Series B,Yes,Influencer,Invite to demo
Priya Patel,"Associate Director, DMPK",PharmaNest,"Bay Area, CA","Seattle, WA",priya.patel@pharmanest.com,https://www.linkedin.com/in/priyapatel-pharmanest,In vitro organ-on-chip for DILI detection,2025,ACT 2024,Series B,No,Influencer,Share case study
Noah Brown,"Associate Director, DMPK",NeoDrug Discovery,"Oxford, UK","New York, NY",noah.brown@neodrugdiscovery.com,https://www.linkedin.com/in/noahbrown-neodrugdiscovery,Organ-on-chip platforms for predictive toxicology,2025,SOT 2025,Seed,Yes,PI-level,Invite to demo
Priya Taylor,"Associate Director, DMPK",InSilico Health,"Boston, MA","Boston, MA",priya.taylor@insilicohealth.com,https://www.linkedin.com/in/priyataylor-insilicohealth,Organ-on-chip platforms for predictive toxicology,2022,SOT 2025,Unknown,Yes,Budget holder,Email intro
Karan Lopez,"Principal Scientist, Investigative Toxicology",InVitroX,"London, UK","Boston, MA",karan.lopez@invitrox.com,https://www.linkedin.com/in/karanlopez-invitrox,Hepatic spheroids improve safety pharmacology readouts,2024,AACR 2025,Unknown,Yes,Hands-on user,Invite to demo
Olivia Allen,"Research Scientist, 3D Cell Culture",CellDynamics,"Bay Area, CA","Cambridge, UK",olivia.allen@celldynamics.com,https://www.linkedin.com/in/oliviaallen-celldynamics,Hepatic spheroids improve safety pharmacology readouts,2025,ISSX 2024,Seed,Yes,Influencer,LinkedIn connect
Ethan Lewis,Safety Pharmacology Lead,Novacure Biotech,"Manchester, UK","Bay Area, CA",ethan.lewis@novacurebiotech.com,https://www.linkedin.com/in/ethanlewis-novacurebiotech,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,SOT 2025,Series A,No,Evaluating NAMs,Invite to demo
Nina Clark,"Scientist, Hepatic Toxicology",BioThera,"London, UK","Bay Area, CA",nina.clark@biothera.com,https://www.linkedin.com/in/ninaclark-biothera,Screening hepatic toxicity using organoids,2023,ACT 2024,Seed,Yes,PI-level,Invite to demo
Sophia Wang,Safety Pharmacology Lead,HepaTech,"Remote, Colorado","New York, NY",sophia.wang@hepatech.com,https://www.linkedin.com/in/sophiawang-hepatech,Hepatic spheroids improve safety pharmacology readouts,2022,ISSX 2025,IPO,No,Evaluating NAMs,Share case study
Noah Patel,"Research Scientist, 3D Cell Culture",InSilico Health,"Seattle, WA","Cambridge, UK",noah.patel@insilicohealth.com,https://www.linkedin.com/in/noahpatel-insilicohealth,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,SOT 2025,Seed,Yes,Evaluating NAMs,Request 15-min meeting
Ishan King,Head of Toxicology,BioAxis,"Manchester, UK","Seattle, WA",ishan.king@bioaxis.com,https://www.linkedin.com/in/ishanking-bioaxis,Screening hepatic toxicity using organoids,2023,ISSX 2025,Series A,Yes,Influencer,Request 15-min meeting
Raj Lewis,Head of Toxicology,HepatoLife,"Seattle, WA","New York, NY",raj.lewis@hepatolife.com,https://www.linkedin.com/in/rajlewis-hepatolife,Organ-on-chip platforms for predictive toxicology,2025,ISSX 2025,Series B,No,Influencer,Request 15-min meeting
Karan Patel,VP Preclinical Safety,VivoMatrix,"Basel, Switzerland","Basel, Switzerland",karan.patel@vivomatrix.com,https://www.linkedin.com/in/karanpatel-vivomatrix,Screening hepatic toxicity using organoids,2022,ACT 2024,Series A,Yes,Influencer,Email intro
Karan Young,"Scientist, Hepatic Toxicology",VivoMatrix,"Cambridge, MA","Zurich, Switzerland",karan.young@vivomatrix.com,https://www.linkedin.com/in/karanyoung-vivomatrix,In vitro organ-on-chip for DILI detection,2022,SOT 2025,Unknown,Yes,Budget holder,Share case study
